,Sales Package,Model Number,Part Number,Model Name,Series,Color,Type,Suitable For,Battery Backup,Power Supply,MS Office Provided,Processor Brand,Processor Name,SSD,SSD Capacity,RAM,RAM Type,Processor Variant,Graphic Processor,Number of Cores,Storage Type,Operating System,Mic In,USB Port,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Internal Mic,Sound Properties,Wireless LAN,Bluetooth,Dimensions,Weight,Disk Drive,Web Camera,Keyboard,Backlit Keyboard,Pointer Device,Included Software,Additional Features,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Battery Cell,Clock Speed,HDMI Port,Processor Generation,Expandable Memory,RAM Frequency,Cache,OS Architecture,Supported Operating System,System Architecture,RJ45,Multi Card Slot,Refresh Rate,Ethernet,Wireless WAN,Finger Print Sensor,Laptop Bag,Inbuilt 4G LTE,Memory Slots,Expandable SSD Capacity,NFC Support,Face Recognition,Lock Port,TGP,Dedicated Graphic Memory Type,Dedicated Graphic Memory Capacity,Hardware Interface,Security Chip,Chipset,Antivirus,RPM,Sound Chip,Brightness,EMMC Storage Capacity,International Warranty,Stylus Included,S-video,Dock Port,Firewire Port,RJ11,VGA Port,Read/Write Speed,Other Accessories,Color Gamut,Recovery Options,Certification,HDD Capacity,Optane Memory,Cloud Storage,UFS Storage Capacity,id,rating,price
0,"Laptop, Power Adaptor, User Guide, Warranty Documents",15-fc0154AU,9D3M8PA,15-fc0154AU,15 (2024),Silver,Thin and Light Laptop,Processing & Multitasking,,,Yes,AMD,Ryzen 3 Quad Core,Yes,512 GB,8 GB,DDR4,7320U,AMD Radeon AMD,,SSD,Windows 11 Home,,"1 x USB Type-C 5Gbps signaling rate (supports data transfer only and does not support charging or external monitors), 2 x USB Type-A 5Gbps signaling rate",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, micro-edge, anti-glare, 250 nits, 45% NTSC",Yes,Yes,,Realtek Wi-Fi 6 (1x1),v5.3,359.8 x 236 x 18.6 mm,1.59 Kg,Not Available,HP True Vision 1080p FHD camera,"Full-size, soft grey keyboard with numeric keypad",,,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,,Max Turbo Frequency 4.1 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.2,"₹33,990"
0,"Laptop, Power Adaptor, User Guide, Warranty Documents",15s- eq2144au,50M63PA#ACJ,15s- eq2144au,,Natural Silver,Thin and Light Laptop,"Everyday Use, Processing & Multitasking",,,Yes,AMD,Ryzen 5 Hexa Core,Yes,512 GB,8 GB,DDR4,5500U,AMD Radeon AMD,6,SSD,Windows 11 Home,Yes,"1 x SuperSpeed USB Type-C 5Gbps signaling rate, 2 x SuperSpeed USB Type-A 5Gbps signaling rate",No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD, micro-edge, anti-glare, Brightness: 250 nits, 141 ppi, Color Gamut: 45%NTSC",Built-in Dual Speakers,Built-in Dual Array Digital Microphones,,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,v4.2,358 x 242 x 17.9 mm,1.69 kg,Not Available,HP True Vision 720p HD camera,Full-size Island-style Natural Silver Keyboard with Numeric Keypad,No,,"Microsoft Office Home 2019 & Office 365, HP Documentation, HP SSRM, HP Smart","41 Wh Li-ion Battery, Support battery fast charge",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,3 cell,2.1 GHz with Max Turbo Boost Frequency Up to 4.0 GHz,1x HDMI 1.4b,,,,8,64 bit,Windows 11 Home,,,1 x card reader,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.2,"₹37,999"
0,"???Laptop, Battery, AC Adapter, User Guide, Manuals",Vostro 3520,VN3520HPCNX001ORB1,Vostro 3520,Vostro,Black,Thin and Light Laptop,Everyday Use,,,Yes,Intel,Core i3,Yes,512 GB,8 GB,DDR4,1215U,Intel Integrated Intel,6,SSD,Windows 11 Home,Yes,"1 x USB 3.2 Gen 1 Type-A port, 1 x USB 3.2 Gen, 1 x USB 2.0 Port",No,39.62 cm (15.6 inch),1920 x 1080 Pixels,"Full HD, WVA AG, Refresh Rate: 120Hz, Brightness: 250 nits, Narrow Border",Yes,Yes,Waves Maxx Audio,"Realtek Wi-Fi 6 RTL8852BE, 2x2, 802.11ax, MU-MIMO",Yes,358 x 235 x 18.9 mm,1.62 kg,Not Available,HD,Standard Keyboard,,,Office Home & Student 2021,,1 Year Onsite Hardware Service,Onsite,Manufacturing Defects,Accidental Damage,1 Year,"3 Cell, 41 Wh, Integrated",Upto 4.4 GHz,1 x HDMI 1.4 Port,12th Gen,16 GB,2666 MHz,10 MB,64 bit,Windows 11,64 bit,Yes,1 x SD 3.0 Card Slot,4.4 Hz,Available,YES,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.2,"₹32,990"
0,"MacBook Air, 35W Dual USB-C Port Power Adapter, USB-C to MagSafe 3 Cable",MLXX3HN/A,MLXX3HN/A,MacBook Air,MacBook AIR,Space Grey,Thin and Light Laptop,Processing & Multitasking,Up to 18 hours,35 W Dual USB-C Port Power Adapter,No,Apple,M2,Yes,512 GB,8 GB,Unified Memory,Apple M2 Chip,NA,8,SSD,Mac OS Monterey,Yes,"2 x Thunderbolt / USB 4 Ports (USB 4 (up to 40 Gbps), USB 3.1 Gen 2 (up to 10 Gbps)",No,34.54 cm (13.6 Inch),2560 x 1664 Pixel,"Liquid Retina display, LED-backlit display with IPS technology, 500 nits brightness, Wide colour (P3), True Tone technology",Built-in Speakers,Three-mic array with directional beamforming,"Stereo Speakers, Wide Stereo Sound, Support for Dolby Atmos",802.11ax Wi-Fi 6 wireless networking,v5.0,304.1 x 215.0 x 11.3 mm,1.24 Kg,Not Available,1080p FaceTime HD camera,Backlit Magic Keyboard,Yes,Force Touch Trackpad,"Built-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player",52.6 Watt Hour Lithium polymer Battery,1 Year Limited Warra­nty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.7,"₹85,990"
0,"13.6 inch MacBook Air USB-C Power Adapter, USB-C to MagSafe 3 Cable (2 m)",MC7U4HN/A,MC7U4HN/A,MacBook Air,MacBook AIR,Space Grey,Thin and Light Laptop,Processing & Multitasking,Upto 18 Hours,,No,Apple,M2,Yes,256 GB,16 GB,Unified Memory,,NA,,SSD,macOS Sequoia,Yes,2 x Thunderbolt USB 4,No,34.54 cm (13.6 Inch),2560 x 1664 Pixel,"Liquid Retina display, LED-backlit display with IPS technology native resolution at 224 pixels per inch, 500 nits brightness",Built-in Speakers,,Four-speaker sound system,Wi-Fi 6 (802.11ax),v5.3,304.1 x 215.0 x 11.3 mm,1.24 kg,Not Available,1080p FaceTime HD camera,Backlit Magic Keyboard,Yes,,"Built-in Apps: App Store, Books, Calendar, Contacts, FaceTime, Find My, Freeform, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos, Weather",,1 Year Limited Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.7,"₹81,990"
0,"Laptop, Power Adaptor, User Guide, Warranty Documents",15s-fy5002TU,6P132PA#ACJ,15s-fy5002TU,Backlit,Natural Silver,Thin and Light Laptop,Processing & Multitasking,,,Yes,Intel,Core i5,Yes,512 GB,8 GB,DDR4,1235U,Intel Integrated Integrated,10,SSD,Windows 11 Home,Yes,"1 x USB Type-C 5Gbps signaling rate, 2 x USB Type-A 5Gbps signaling rate",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"FHD, micro-edge, anti-glare, Brightness: 250 nits, 141 ppi, Color Gamut: 45%NTSC",Built-in Dual Speakers,Built-in Dual Array Digital Microphones,,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2),v5.0,358 x 242 x 17.9,1.69 Kg,Not Available,HP True Vision 720p HD camera,"Full-size, backlit natural silver keyboard with numeric keypad",Yes,,,41 Wh Li-ion Battery,1 Year Onsite Warranty,"Contact : Ph : 18002587170, 18602583079, WhatsApp Helpline - +17864826615 / Mail : Self Service warranty lookup - support.hp.com/us-en/checkwarranty",Manufacturing Defects,Physical Damage,1 Year,3 Cell,3.30GHz Upto 4.40GHz,1 x HDMI 1.4b,12th Gen,16 GB,,12 MB,64 bit,Windows 11 Home,64 bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.2,"₹49,990"
0,"Laptop, Power Adapter, User Guide, Warranty Documents",14-dv2014TU,6K9C3PA#ACJ,14-dv2014TU,Pavilion,Natural Silver,Thin and Light Laptop,"Entertainment, Performance",,,Yes,Intel,Core i5,Yes,512 GB,16 GB,DDR4,1235U,Intel Integrated UHD Graphics,10,SSD,Windows 11 Home,Yes,"1x SuperSpeed USB Type-C 10Gbps signaling rate (USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 2x SuperSpeed USB Type-A 5Gbps signaling rate",No,35.56 cm (14 inch),1920 x 1080 Pixels,"FHD, IPS, micro-edge, BrightView (Brightness: 250 nits, 157 ppi, Color Gamut: 45%NTSC)",Dual speakers,Integrated dual array digital Microphone,Audio by B&O,MediaTek Wi-Fi 6 MT7921 (2x2),v5.2,325 x 216 x 17.0 mm,1.41 Kg,Not Available,HP Wide Vision 720p HD camera with temporal noise reduction,"Full-size, backlit, Natural Silver keyboard",Yes,HP Imagepad with multi-touch gesture support,"Microsoft Office Home & Student 2021, HP Documentation, HP BIOS recovery, HP Smart","43 Wh Li-ion, Support battery fast charge",1 Year Onsite Warranty,"Contact : Ph : 18002587170, 18602583079, WhatsApp Helpline - +17864826615 / Mail : Self Service warranty lookup - support.hp.com/us-en/checkwarranty",Manufacturing Defects,Physical Damage,1 Year,3,Upto 4.4 GHz,1x HDMI 2.1,12th Gen,,3200 MHz,12,64 bit,Windows 11 Home,64,,,,,,Yes,,,,,,,,,,,PCIe NVMe,,,,,,,,,,,,,,,,,,,,,,,,6.0,4.3,"₹56,990"
0,"Laptop, battery, power adapter, user guide",E1504FA-NJ521WS,90NB0ZR1-M00AH0,E1504FA-NJ521WS,Vivobook Go 15,Cool Silver,Thin and Light Laptop,Processing & Multitasking,,,Yes,AMD,Ryzen 5 Quad Core,Yes,512 GB,8 GB,LPDDR5,7520U,AMD Radeon AMD,,SSD,Windows 11 Home,,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"FHD (1920 x 1080) 16:9 aspect ratio, LED Backlit LCD, Anti-glare display, 250nits Brightness, TUV Rheinland-certified, 84 % Screen-to-body ratio",Built-in Speakers,Yes,,Wi-Fi 6E(802.11ax) (Dual band) 1*1,v5.0,,1.63 Kg,Not Available,720p HD camera With privacy shutter,Chiclet Keyboard,No,,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,3 cell,2.8 GHz upto max turbo frequency at 4.3 Ghz,1 x HDMI 1.4,,NA,,,,,,,,,,,,,,,1 TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,4.2,"₹34,790"
0,"MacBook Air, 30W USB-C Power Adapter, USB-C to MagSafe 3 Cable",MLXW3HN/A,MLXW3HN/A,MacBook Air,MacBook AIR,Space Grey,Thin and Light Laptop,Processing & Multitasking,Upto 18 Hours,30 W USB-C Power Adapter,No,Apple,M2,Yes,256 GB,8 GB,Unified Memory,Apple M2 Chip,NA,8,SSD,Mac OS Monterey,Yes,"2 x Thunderbolt / USB 4 Ports (USB 4 (up to 40 Gbps), USB 3.1 Gen 2 (up to 10 Gbps)",No,34.54 cm (13.6 Inch),2560 x 1664 Pixel,"Liquid Retina Display, LED-backlit display with IPS technology, 500 nits brightness, Wide colour (P3), True Tone technology",Built-in Speakers,Three-mic array with directional beamforming,"Stereo Speakers, Wide Stereo Sound, Support for Dolby Atmos",802.11ax Wi-Fi 6 wireless networking,v5.0,304.1 x 215.0 x 11.3 mm,1.24 Kg,Not Available,1080p FaceTime HD camera,Backlit Magic Keyboard,Yes,Force Touch Trackpad,"Built-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player",52.6 Watt Hour Lithium polymer Battery,1 Year Limited Warra­nty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,4.7,"₹74,990"
0,"Laptop, battery, power adapter, user guide",E1504FA-NJ321WS,90NB0ZR1-M00AE0,E1504FA-NJ321WS,Vivobook Go 15,Cool Silver,Thin and Light Laptop,Processing & Multitasking,,,Yes,AMD,Ryzen 3 Quad Core,Yes,512 GB,8 GB,LPDDR5,7320U,AMD Radeon AMD,,SSD,Windows 11 Home,,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"FHD (1920 x 1080) 16:9 aspect ratio, LED Backlit LCD, Anti-glare display, 250nits Brightness, TUV Rheinland-certified, 84 % Screen-to-body ratio",Built-in Speakers,Yes,,Wi-Fi 6E(802.11ax) (Dual band) 1*1,v5.0,,1.63 Kg,Not Available,720p HD camera With privacy shutter,Chiclet Keyboard,No,,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,3 cell,2.4 GHz upto max turbo frequency at 4.1 Ghz,1 x HDMI 1.4,,NA,,,,,,,,,,,,,,,1 TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,4.2,"₹29,895"
